time,label,fname
0,вынужденная,five_hour_right_000.mp4
5,вынужденная,five_hour_right_001.mp4
10,вынужденная,five_hour_right_002.mp4
15,вынужденная,five_hour_right_003.mp4
20,вынужденная,five_hour_right_004.mp4
25,вынужденная,five_hour_right_005.mp4
30,вынужденная,five_hour_right_006.mp4
35,вынужденная,five_hour_right_007.mp4
40,вынужденная,five_hour_right_008.mp4
45,вынужденная,five_hour_right_009.mp4
50,вынужденная,five_hour_right_010.mp4
55,вынужденная,five_hour_right_011.mp4
60,вынужденная,five_hour_right_012.mp4
65,вынужденная,five_hour_right_013.mp4
70,вынужденная,five_hour_right_014.mp4
75,вынужденная,five_hour_right_015.mp4
80,вынужденная,five_hour_right_016.mp4
85,вынужденная,five_hour_right_017.mp4
90,вынужденная,five_hour_right_018.mp4
95,вынужденная,five_hour_right_019.mp4
100,вынужденная,five_hour_right_020.mp4
105,вынужденная,five_hour_right_021.mp4
110,вынужденная,five_hour_right_022.mp4
115,вынужденная,five_hour_right_023.mp4
120,вынужденная,five_hour_right_024.mp4
125,вынужденная,five_hour_right_025.mp4
130,вынужденная,five_hour_right_026.mp4
135,вынужденная,five_hour_right_027.mp4
140,вынужденная,five_hour_right_028.mp4
145,вынужденная,five_hour_right_029.mp4
150,вынужденная,five_hour_right_030.mp4
155,вынужденная,five_hour_right_031.mp4
160,вынужденная,five_hour_right_032.mp4
165,вынужденная,five_hour_right_033.mp4
170,вынужденная,five_hour_right_034.mp4
175,вынужденная,five_hour_right_035.mp4
180,вынужденная,five_hour_right_036.mp4
185,вынужденная,five_hour_right_037.mp4
190,вынужденная,five_hour_right_038.mp4
195,вынужденная,five_hour_right_039.mp4
200,вынужденная,five_hour_right_040.mp4
205,вынужденная,five_hour_right_041.mp4
210,вынужденная,five_hour_right_042.mp4
215,вынужденная,five_hour_right_043.mp4
220,вынужденная,five_hour_right_044.mp4
225,вынужденная,five_hour_right_045.mp4
230,вынужденная,five_hour_right_046.mp4
235,вынужденная,five_hour_right_047.mp4
240,вынужденная,five_hour_right_048.mp4
245,вынужденная,five_hour_right_049.mp4
250,вынужденная,five_hour_right_050.mp4
255,вынужденная,five_hour_right_051.mp4
260,вынужденная,five_hour_right_052.mp4
265,вынужденная,five_hour_right_053.mp4
270,вынужденная,five_hour_right_054.mp4
275,вынужденная,five_hour_right_055.mp4
280,вынужденная,five_hour_right_056.mp4
285,вынужденная,five_hour_right_057.mp4
290,вынужденная,five_hour_right_058.mp4
295,вынужденная,five_hour_right_059.mp4
300,простой,five_hour_right_060.mp4
305,простой,five_hour_right_061.mp4
310,простой,five_hour_right_062.mp4
315,простой,five_hour_right_063.mp4
320,простой,five_hour_right_064.mp4
325,простой,five_hour_right_065.mp4
330,простой,five_hour_right_066.mp4
335,простой,five_hour_right_067.mp4
340,простой,five_hour_right_068.mp4
345,простой,five_hour_right_069.mp4
350,простой,five_hour_right_070.mp4
355,простой,five_hour_right_071.mp4
360,простой,five_hour_right_072.mp4
365,простой,five_hour_right_073.mp4
370,простой,five_hour_right_074.mp4
375,простой,five_hour_right_075.mp4
380,простой,five_hour_right_076.mp4
385,простой,five_hour_right_077.mp4
390,простой,five_hour_right_078.mp4
395,простой,five_hour_right_079.mp4
400,простой,five_hour_right_080.mp4
405,простой,five_hour_right_081.mp4
410,простой,five_hour_right_082.mp4
415,простой,five_hour_right_083.mp4
420,простой,five_hour_right_084.mp4
425,простой,five_hour_right_085.mp4
430,простой,five_hour_right_086.mp4
435,простой,five_hour_right_087.mp4
440,простой,five_hour_right_088.mp4
445,простой,five_hour_right_089.mp4
450,простой,five_hour_right_090.mp4
455,простой,five_hour_right_091.mp4
460,простой,five_hour_right_092.mp4
465,простой,five_hour_right_093.mp4
470,простой,five_hour_right_094.mp4
475,простой,five_hour_right_095.mp4
480,простой,five_hour_right_096.mp4
485,простой,five_hour_right_097.mp4
490,простой,five_hour_right_098.mp4
495,простой,five_hour_right_099.mp4
500,простой,five_hour_right_100.mp4
505,простой,five_hour_right_101.mp4
510,простой,five_hour_right_102.mp4
515,простой,five_hour_right_103.mp4
520,простой,five_hour_right_104.mp4
525,простой,five_hour_right_105.mp4
530,вынужденная,five_hour_right_106.mp4
535,вынужденная,five_hour_right_107.mp4
540,вынужденная,five_hour_right_108.mp4
545,вынужденная,five_hour_right_109.mp4
550,вынужденная,five_hour_right_110.mp4
555,вынужденная,five_hour_right_111.mp4
560,вынужденная,five_hour_right_112.mp4
565,вынужденная,five_hour_right_113.mp4
570,вынужденная,five_hour_right_114.mp4
575,вынужденная,five_hour_right_115.mp4
