time,label,fname
0,простой,nine_hour_left_000.mp4
5,простой,nine_hour_left_001.mp4
10,простой,nine_hour_left_002.mp4
15,простой,nine_hour_left_003.mp4
20,простой,nine_hour_left_004.mp4
25,простой,nine_hour_left_005.mp4
30,простой,nine_hour_left_006.mp4
35,простой,nine_hour_left_007.mp4
40,простой,nine_hour_left_008.mp4
45,простой,nine_hour_left_009.mp4
50,простой,nine_hour_left_010.mp4
55,простой,nine_hour_left_011.mp4
60,простой,nine_hour_left_012.mp4
65,простой,nine_hour_left_013.mp4
70,простой,nine_hour_left_014.mp4
75,простой,nine_hour_left_015.mp4
80,простой,nine_hour_left_016.mp4
85,простой,nine_hour_left_017.mp4
90,простой,nine_hour_left_018.mp4
95,простой,nine_hour_left_019.mp4
100,простой,nine_hour_left_020.mp4
105,простой,nine_hour_left_021.mp4
110,простой,nine_hour_left_022.mp4
115,простой,nine_hour_left_023.mp4
120,простой,nine_hour_left_024.mp4
125,простой,nine_hour_left_025.mp4
130,простой,nine_hour_left_026.mp4
135,простой,nine_hour_left_027.mp4
140,простой,nine_hour_left_028.mp4
145,простой,nine_hour_left_029.mp4
150,простой,nine_hour_left_030.mp4
155,простой,nine_hour_left_031.mp4
160,простой,nine_hour_left_032.mp4
165,простой,nine_hour_left_033.mp4
170,простой,nine_hour_left_034.mp4
175,простой,nine_hour_left_035.mp4
180,простой,nine_hour_left_036.mp4
185,простой,nine_hour_left_037.mp4
190,простой,nine_hour_left_038.mp4
195,простой,nine_hour_left_039.mp4
200,простой,nine_hour_left_040.mp4
205,простой,nine_hour_left_041.mp4
210,простой,nine_hour_left_042.mp4
215,простой,nine_hour_left_043.mp4
220,простой,nine_hour_left_044.mp4
225,простой,nine_hour_left_045.mp4
230,простой,nine_hour_left_046.mp4
235,простой,nine_hour_left_047.mp4
240,вынужденная,nine_hour_left_048.mp4
245,вынужденная,nine_hour_left_049.mp4
250,вынужденная,nine_hour_left_050.mp4
255,вынужденная,nine_hour_left_051.mp4
260,вынужденная,nine_hour_left_052.mp4
265,вынужденная,nine_hour_left_053.mp4
270,вынужденная,nine_hour_left_054.mp4
275,вынужденная,nine_hour_left_055.mp4
280,вынужденная,nine_hour_left_056.mp4
285,вынужденная,nine_hour_left_057.mp4
290,вынужденная,nine_hour_left_058.mp4
295,вынужденная,nine_hour_left_059.mp4
300,вынужденная,nine_hour_left_060.mp4
305,вынужденная,nine_hour_left_061.mp4
310,вынужденная,nine_hour_left_062.mp4
315,вынужденная,nine_hour_left_063.mp4
320,вынужденная,nine_hour_left_064.mp4
325,вынужденная,nine_hour_left_065.mp4
330,вынужденная,nine_hour_left_066.mp4
335,вынужденная,nine_hour_left_067.mp4
340,вынужденная,nine_hour_left_068.mp4
345,вынужденная,nine_hour_left_069.mp4
350,вынужденная,nine_hour_left_070.mp4
