time,label,fname
0,простой,nine_hour_right_000.mp4
5,простой,nine_hour_right_001.mp4
10,простой,nine_hour_right_002.mp4
15,простой,nine_hour_right_003.mp4
20,простой,nine_hour_right_004.mp4
25,простой,nine_hour_right_005.mp4
30,простой,nine_hour_right_006.mp4
35,простой,nine_hour_right_007.mp4
40,простой,nine_hour_right_008.mp4
45,простой,nine_hour_right_009.mp4
50,простой,nine_hour_right_010.mp4
55,простой,nine_hour_right_011.mp4
60,простой,nine_hour_right_012.mp4
65,простой,nine_hour_right_013.mp4
70,простой,nine_hour_right_014.mp4
75,простой,nine_hour_right_015.mp4
80,простой,nine_hour_right_016.mp4
85,простой,nine_hour_right_017.mp4
90,простой,nine_hour_right_018.mp4
95,простой,nine_hour_right_019.mp4
100,простой,nine_hour_right_020.mp4
105,простой,nine_hour_right_021.mp4
110,простой,nine_hour_right_022.mp4
115,простой,nine_hour_right_023.mp4
120,простой,nine_hour_right_024.mp4
125,простой,nine_hour_right_025.mp4
130,простой,nine_hour_right_026.mp4
135,простой,nine_hour_right_027.mp4
140,простой,nine_hour_right_028.mp4
145,простой,nine_hour_right_029.mp4
150,простой,nine_hour_right_030.mp4
155,простой,nine_hour_right_031.mp4
160,простой,nine_hour_right_032.mp4
165,простой,nine_hour_right_033.mp4
170,простой,nine_hour_right_034.mp4
175,простой,nine_hour_right_035.mp4
180,простой,nine_hour_right_036.mp4
185,простой,nine_hour_right_037.mp4
190,простой,nine_hour_right_038.mp4
195,простой,nine_hour_right_039.mp4
200,простой,nine_hour_right_040.mp4
205,простой,nine_hour_right_041.mp4
210,простой,nine_hour_right_042.mp4
215,простой,nine_hour_right_043.mp4
220,простой,nine_hour_right_044.mp4
225,простой,nine_hour_right_045.mp4
230,простой,nine_hour_right_046.mp4
235,простой,nine_hour_right_047.mp4
240,простой,nine_hour_right_048.mp4
245,простой,nine_hour_right_049.mp4
250,простой,nine_hour_right_050.mp4
255,простой,nine_hour_right_051.mp4
260,простой,nine_hour_right_052.mp4
265,простой,nine_hour_right_053.mp4
270,простой,nine_hour_right_054.mp4
275,простой,nine_hour_right_055.mp4
280,простой,nine_hour_right_056.mp4
285,простой,nine_hour_right_057.mp4
290,простой,nine_hour_right_058.mp4
295,простой,nine_hour_right_059.mp4
300,простой,nine_hour_right_060.mp4
305,простой,nine_hour_right_061.mp4
310,простой,nine_hour_right_062.mp4
315,простой,nine_hour_right_063.mp4
320,простой,nine_hour_right_064.mp4
325,простой,nine_hour_right_065.mp4
330,простой,nine_hour_right_066.mp4
335,простой,nine_hour_right_067.mp4
340,простой,nine_hour_right_068.mp4
345,простой,nine_hour_right_069.mp4
350,простой,nine_hour_right_070.mp4
355,простой,nine_hour_right_071.mp4
360,простой,nine_hour_right_072.mp4
365,простой,nine_hour_right_073.mp4
370,простой,nine_hour_right_074.mp4
375,простой,nine_hour_right_075.mp4
380,простой,nine_hour_right_076.mp4
385,простой,nine_hour_right_077.mp4
390,простой,nine_hour_right_078.mp4
395,простой,nine_hour_right_079.mp4
400,простой,nine_hour_right_080.mp4
405,простой,nine_hour_right_081.mp4
410,простой,nine_hour_right_082.mp4
415,простой,nine_hour_right_083.mp4
420,вынужденная,nine_hour_right_084.mp4
425,вынужденная,nine_hour_right_085.mp4
430,вынужденная,nine_hour_right_086.mp4
435,вынужденная,nine_hour_right_087.mp4
440,вынужденная,nine_hour_right_088.mp4
445,вынужденная,nine_hour_right_089.mp4
450,вынужденная,nine_hour_right_090.mp4
455,вынужденная,nine_hour_right_091.mp4
