video_id,class_indx,label,gt_class_indx,gt_label
nine_hour_left_000,1,вынужденная,0,простой
nine_hour_left_001,0,простой,0,простой
nine_hour_left_002,0,простой,0,простой
nine_hour_left_003,1,вынужденная,0,простой
nine_hour_left_004,1,вынужденная,0,простой
nine_hour_left_005,1,вынужденная,0,простой
nine_hour_left_006,1,вынужденная,0,простой
nine_hour_left_007,1,вынужденная,0,простой
nine_hour_left_008,1,вынужденная,0,простой
nine_hour_left_009,1,вынужденная,0,простой
nine_hour_left_010,1,вынужденная,0,простой
nine_hour_left_011,1,вынужденная,0,простой
nine_hour_left_012,1,вынужденная,0,простой
nine_hour_left_013,1,вынужденная,0,простой
nine_hour_left_014,1,вынужденная,0,простой
nine_hour_left_015,1,вынужденная,0,простой
nine_hour_left_016,1,вынужденная,0,простой
nine_hour_left_017,1,вынужденная,0,простой
nine_hour_left_018,1,вынужденная,0,простой
nine_hour_left_019,1,вынужденная,0,простой
nine_hour_left_020,1,вынужденная,0,простой
nine_hour_left_021,1,вынужденная,0,простой
nine_hour_left_022,1,вынужденная,0,простой
nine_hour_left_023,1,вынужденная,0,простой
nine_hour_left_024,1,вынужденная,0,простой
nine_hour_left_025,1,вынужденная,0,простой
nine_hour_left_026,1,вынужденная,0,простой
nine_hour_left_027,1,вынужденная,0,простой
nine_hour_left_028,1,вынужденная,0,простой
nine_hour_left_029,1,вынужденная,0,простой
nine_hour_left_030,1,вынужденная,0,простой
nine_hour_left_031,1,вынужденная,0,простой
nine_hour_left_032,1,вынужденная,0,простой
nine_hour_left_033,1,вынужденная,0,простой
nine_hour_left_034,1,вынужденная,0,простой
nine_hour_left_035,0,простой,0,простой
nine_hour_left_036,0,простой,0,простой
nine_hour_left_037,0,простой,0,простой
nine_hour_left_038,0,простой,0,простой
nine_hour_left_039,0,простой,0,простой
nine_hour_left_040,0,простой,0,простой
nine_hour_left_041,0,простой,0,простой
nine_hour_left_042,0,простой,0,простой
nine_hour_left_043,0,простой,0,простой
nine_hour_left_044,0,простой,0,простой
nine_hour_left_045,1,вынужденная,0,простой
nine_hour_left_046,1,вынужденная,0,простой
nine_hour_left_047,1,вынужденная,0,простой
nine_hour_left_048,1,вынужденная,1,вынужденная
nine_hour_left_049,1,вынужденная,1,вынужденная
nine_hour_left_050,1,вынужденная,1,вынужденная
nine_hour_left_051,1,вынужденная,1,вынужденная
nine_hour_left_052,1,вынужденная,1,вынужденная
nine_hour_left_053,1,вынужденная,1,вынужденная
nine_hour_left_054,1,вынужденная,1,вынужденная
nine_hour_left_055,1,вынужденная,1,вынужденная
nine_hour_left_056,1,вынужденная,1,вынужденная
nine_hour_left_057,1,вынужденная,1,вынужденная
nine_hour_left_058,1,вынужденная,1,вынужденная
nine_hour_left_059,1,вынужденная,1,вынужденная
nine_hour_left_060,1,вынужденная,1,вынужденная
nine_hour_left_061,1,вынужденная,1,вынужденная
